epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,664.524,0.97859,0.98809,1.31175,0.79361,0.39643,0.43852,0.2995,1.28245,1.01523,1.59059,0.000462281,0.000462281,0.000462281
43,679.661,0.89127,0.88805,1.25354,0.81784,0.34857,0.40723,0.2722,1.28424,0.95767,1.60127,0.000438703,0.000438703,0.000438703
44,694.941,0.89349,0.90395,1.25013,0.69764,0.36972,0.40594,0.28128,1.25721,0.98489,1.61016,0.000415124,0.000415124,0.000415124
45,710.276,0.93256,0.90156,1.27016,0.69475,0.41161,0.40417,0.27624,1.26677,1.02167,1.58888,0.000391546,0.000391546,0.000391546
46,726.527,0.91888,0.88381,1.25787,0.36413,0.46375,0.41666,0.28746,1.24729,0.94428,1.58415,0.000367967,0.000367967,0.000367967
47,741.896,0.90329,0.89222,1.24597,0.45086,0.3976,0.39993,0.27418,1.26934,0.95882,1.59105,0.000344389,0.000344389,0.000344389
48,756.995,0.88086,0.85658,1.23719,0.78812,0.35747,0.40519,0.27365,1.26223,0.97908,1.58785,0.00032081,0.00032081,0.00032081
49,772.381,0.89762,0.85662,1.25876,0.41723,0.38314,0.41842,0.2838,1.24452,0.93383,1.57011,0.000297232,0.000297232,0.000297232
50,787.678,0.86501,0.82626,1.23472,0.76939,0.35079,0.41023,0.27822,1.2931,0.98888,1.61112,0.000273654,0.000273654,0.000273654
51,805.547,0.7459,0.69832,1.18971,0.46911,0.34242,0.3964,0.27053,1.2761,1.02067,1.6085,0.000250075,0.000250075,0.000250075
52,820.571,0.72594,0.66315,1.17827,0.3934,0.43491,0.40004,0.27522,1.24321,0.95646,1.57051,0.000226497,0.000226497,0.000226497
53,835.367,0.71841,0.63519,1.17291,0.80166,0.34967,0.41273,0.28208,1.2307,0.93459,1.5825,0.000202918,0.000202918,0.000202918
54,850.254,0.70558,0.61895,1.16677,0.44604,0.37666,0.41136,0.27854,1.24761,1.00793,1.59698,0.00017934,0.00017934,0.00017934
55,865.001,0.70838,0.5955,1.15825,0.42713,0.60648,0.42418,0.28423,1.24327,0.93107,1.57601,0.000155761,0.000155761,0.000155761
56,880.821,0.69536,0.60128,1.14193,0.46995,0.44226,0.43762,0.30187,1.23423,0.92453,1.57555,0.000132183,0.000132183,0.000132183
57,895.912,0.68436,0.57864,1.14045,0.48895,0.49677,0.43336,0.29924,1.22313,0.89921,1.56771,0.000108604,0.000108604,0.000108604
58,910.807,0.66732,0.57651,1.13678,0.50876,0.54,0.43727,0.30143,1.22746,0.92468,1.57097,8.50255e-05,8.50255e-05,8.50255e-05
59,925.653,0.65862,0.55937,1.13381,0.51796,0.53934,0.4579,0.31655,1.22637,0.92481,1.57629,6.1447e-05,6.1447e-05,6.1447e-05
60,940.584,0.65445,0.53455,1.12357,0.52079,0.49146,0.45852,0.31558,1.22266,0.91559,1.57564,3.78685e-05,3.78685e-05,3.78685e-05
